,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
481,Oct,3,Monday,VW,Urban,Tuesday,Oct,3,Female,Married,51,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,482,5,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
14104,Jun,1,Saturday,Toyota,Urban,Tuesday,Jun,2,Male,Married,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,14105,1,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,3 to 4,1996,Liability
9153,Aug,1,Thursday,Pontiac,Rural,Thursday,Aug,1,Male,Single,57,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9154,13,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Liability
3170,Aug,1,Friday,Mazda,Urban,Tuesday,Aug,2,Female,Single,27,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3171,1,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
13335,Aug,2,Saturday,Pontiac,Urban,Wednesday,Sep,5,Male,Married,60,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13336,3,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,4 to 8 years,2 vehicles,1996,Collision
5274,Apr,2,Saturday,Mazda,Rural,Tuesday,Apr,3,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,5275,13,400,4,15 to 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
4746,Apr,5,Friday,Pontiac,Urban,Friday,Apr,5,Female,Married,31,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,4747,7,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils
3990,Aug,4,Tuesday,Accura,Urban,Wednesday,Aug,4,Female,Married,26,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3991,4,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Liability
11311,Apr,1,Wednesday,Chevrolet,Urban,Tuesday,Apr,2,Male,Married,49,Third Party,Sedan - Collision,Sedan,more than 69000,0,11312,3,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision
14009,Mar,3,Friday,Pontiac,Urban,Wednesday,Mar,4,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,14010,3,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
4850,Mar,2,Wednesday,Mazda,Urban,Thursday,Mar,2,Male,Single,33,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4851,15,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
1258,Dec,2,Tuesday,Ford,Urban,Monday,Dec,3,Male,Married,60,Policy Holder,Utility - All Perils,Utility,30000 to 39000,0,1259,5,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
3895,Mar,2,Tuesday,Pontiac,Urban,Wednesday,Mar,2,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3896,4,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,3 to 4,1994,All Perils
936,Jan,5,Saturday,Chevrolet,Urban,Thursday,Feb,2,Male,Married,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,937,14,400,4,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
2517,May,3,Monday,Pontiac,Urban,Monday,May,3,Male,Married,52,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2518,9,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
5792,May,1,Friday,Honda,Urban,Friday,May,2,Male,Married,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5793,16,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
5058,Jan,1,Wednesday,Toyota,Urban,Wednesday,Feb,2,Female,Single,24,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,5059,6,400,2,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
1460,Dec,1,Thursday,Honda,Urban,Tuesday,Dec,4,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1461,14,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
15155,Oct,4,Sunday,Chevrolet,Urban,Monday,Oct,4,Male,Single,25,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,15156,13,400,1,more than 30,more than 30,more than 4,4 years,26 to 30,No,No,Internal,more than 5,no change,1 vehicle,1996,Liability
3298,Sep,1,Friday,Mazda,Urban,Friday,Sep,5,Female,Married,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3299,16,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
13229,Jun,5,Friday,Chevrolet,Urban,Monday,Jul,1,Female,Single,64,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,13230,11,400,2,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
4513,Jan,5,Saturday,Chevrolet,Urban,Tuesday,Feb,2,Male,Single,68,Third Party,Sedan - All Perils,Sedan,more than 69000,0,4514,5,400,4,more than 30,more than 30,none,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
9976,Dec,2,Monday,Toyota,Urban,Monday,Dec,2,Female,Single,22,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9977,13,400,2,more than 30,more than 30,none,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1995,Liability
10861,May,4,Sunday,Chevrolet,Urban,Monday,Jun,1,Male,Single,26,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,10862,11,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
12002,Feb,2,Tuesday,Mazda,Urban,Wednesday,Feb,2,Male,Married,36,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12003,13,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils
2089,Sep,4,Wednesday,Pontiac,Urban,Thursday,Sep,5,Male,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2090,6,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
686,Oct,5,Friday,Pontiac,Urban,Monday,Oct,5,Male,Married,55,Third Party,Utility - All Perils,Utility,more than 69000,0,687,3,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,Yes,No,External,1 to 2,no change,1 vehicle,1994,All Perils
9244,Sep,3,Tuesday,Pontiac,Rural,Friday,Sep,4,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,9245,4,400,4,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision
3127,May,3,Friday,Chevrolet,Rural,Monday,May,4,Male,Married,45,Third Party,Sedan - Collision,Sedan,more than 69000,0,3128,2,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
6199,Dec,2,Sunday,Mazda,Urban,Monday,Dec,2,Male,Single,33,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,6200,9,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
12209,Sep,5,Wednesday,BMW,Urban,Monday,Oct,1,Male,Married,45,Policy Holder,Sedan - Liability,Sport,more than 69000,0,12210,11,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,Internal,none,no change,1 vehicle,1996,Liability
10780,Feb,2,Thursday,Chevrolet,Rural,Friday,Feb,2,Male,Married,31,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,10781,14,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
8462,May,4,Friday,Mazda,Urban,Thursday,Jun,1,Female,Married,45,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8463,12,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
2130,Apr,2,Wednesday,Toyota,Urban,Wednesday,Apr,2,Female,Single,25,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2131,3,400,2,more than 30,more than 30,none,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
4187,Apr,2,Monday,Toyota,Urban,Tuesday,Apr,2,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4188,11,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
376,Jul,2,Friday,Mazda,Urban,Monday,Jul,2,Male,Single,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,377,12,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
2096,Jun,2,Saturday,Honda,Urban,Monday,Jun,2,Female,Single,24,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2097,7,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
10800,Jul,3,Thursday,VW,Urban,Thursday,Jul,3,Male,Single,32,Policy Holder,Sedan - Liability,Sport,more than 69000,0,10801,10,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability
11138,Oct,5,Sunday,Honda,Urban,Monday,Oct,5,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11139,13,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
9279,Nov,3,Wednesday,Chevrolet,Urban,Thursday,Nov,3,Female,Single,27,Third Party,Sedan - Liability,Sport,more than 69000,0,9280,10,400,2,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
9070,Jan,1,Tuesday,Toyota,Urban,Tuesday,Jan,2,Male,Single,47,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,9071,12,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision
1292,Feb,1,Friday,Pontiac,Urban,Friday,Feb,1,Female,Married,49,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1293,14,400,2,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,Internal,more than 5,no change,1 vehicle,1994,Liability
12260,Feb,2,Friday,Pontiac,Urban,Friday,Feb,2,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,12261,4,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
12121,Mar,1,Thursday,Toyota,Urban,Monday,Mar,1,Male,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12122,12,700,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability
8241,Jan,2,Tuesday,Ford,Urban,Tuesday,Jan,2,Male,Married,47,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8242,5,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,3 to 4,1995,Liability
12871,Mar,2,Tuesday,Toyota,Urban,Wednesday,Mar,4,Male,Married,76,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12872,3,400,3,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
4786,Nov,1,Thursday,Honda,Urban,Friday,Nov,1,Male,Married,33,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4787,9,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
9104,Nov,3,Tuesday,Honda,Urban,Wednesday,Nov,3,Male,Married,61,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9105,2,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision
7382,Aug,4,Thursday,Honda,Urban,Thursday,Aug,4,Male,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7383,4,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
11033,Mar,4,Friday,Pontiac,Urban,Thursday,Mar,5,Male,Married,64,Policy Holder,Utility - Collision,Utility,more than 69000,1,11034,8,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Collision
3414,Aug,1,Tuesday,Pontiac,Urban,Friday,Aug,2,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3415,1,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
3248,Aug,4,Friday,Chevrolet,Rural,Wednesday,Aug,5,Male,Married,61,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3249,12,400,1,more than 30,more than 30,none,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability
9839,Sep,3,Tuesday,Toyota,Urban,Tuesday,Sep,3,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9840,15,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
8000,Aug,3,Saturday,Toyota,Urban,Friday,Sep,1,Male,Married,30,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8001,3,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
7949,May,3,Monday,Pontiac,Urban,Thursday,Jul,3,Male,Married,46,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7950,15,400,4,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability
1514,Apr,1,Tuesday,Pontiac,Urban,Tuesday,Apr,2,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1515,3,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
12419,Apr,1,Wednesday,Toyota,Urban,Thursday,Apr,2,Male,Married,38,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12420,1,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils
5695,Jul,4,Wednesday,Honda,Urban,Wednesday,Jul,4,Male,Married,51,Policy Holder,Sedan - Liability,Sport,more than 69000,0,5696,14,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
8569,Jul,2,Thursday,Pontiac,Urban,Monday,Jul,3,Male,Married,46,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8570,16,400,1,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,1 to 2,no change,3 to 4,1995,Liability
257,Dec,5,Saturday,Toyota,Urban,Tuesday,Jan,1,Female,Married,47,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,258,12,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
2353,Mar,4,Sunday,Chevrolet,Urban,Friday,Apr,5,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,2354,3,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,Yes,External,1 to 2,no change,1 vehicle,1994,All Perils
9554,Apr,2,Friday,Toyota,Urban,Friday,Apr,2,Male,Married,45,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9555,9,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
3783,Aug,2,Saturday,Honda,Urban,Tuesday,Aug,3,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3784,2,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
11545,Oct,2,Thursday,Honda,Urban,Thursday,Oct,2,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11546,5,400,2,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
10432,Jan,3,Thursday,Pontiac,Urban,Monday,Jan,4,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,10433,2,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
3252,Jul,4,Wednesday,Pontiac,Urban,Tuesday,Aug,1,Male,Married,29,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3253,16,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
8758,Feb,2,Monday,Mazda,Urban,Tuesday,Feb,3,Female,Single,52,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8759,6,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision
12323,Apr,4,Wednesday,Mazda,Urban,Friday,May,1,Female,Single,38,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12324,15,400,3,more than 30,more than 30,1,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils
6247,Jun,3,Monday,Pontiac,Urban,Tuesday,Jun,5,Male,Married,32,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,6248,1,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
9605,Aug,3,Tuesday,Chevrolet,Urban,Wednesday,Sep,2,Male,Married,36,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,9606,5,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
7515,Jul,3,Saturday,Toyota,Urban,Tuesday,Jul,3,Male,Married,50,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,7516,11,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
4599,Nov,4,Saturday,Mazda,Urban,Monday,Nov,5,Male,Married,43,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4600,15,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Liability
3762,May,3,Wednesday,Pontiac,Urban,Wednesday,May,3,Male,Single,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3763,16,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
14861,Nov,2,Saturday,Honda,Urban,Monday,Nov,2,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,14862,15,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
9011,Jun,3,Tuesday,Pontiac,Rural,Tuesday,Jun,3,Male,Married,38,Third Party,Sedan - Liability,Sport,20000 to 29000,0,9012,16,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
4318,Jul,4,Friday,Ford,Urban,Friday,Jul,4,Male,Married,54,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4319,11,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
27,May,3,Sunday,Accura,Urban,Friday,May,4,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,28,1,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
3163,Nov,4,Sunday,Honda,Urban,Monday,Nov,4,Male,Single,34,Third Party,Sedan - Liability,Sport,20000 to 29000,0,3164,8,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
2044,Jul,3,Friday,Chevrolet,Urban,Monday,Jul,3,Male,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2045,6,400,3,more than 30,more than 30,more than 4,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
2017,Mar,5,Thursday,Chevrolet,Urban,Monday,Apr,1,Male,Married,40,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,2018,15,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
10321,May,3,Sunday,Toyota,Urban,Wednesday,Jun,1,Male,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10322,10,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability
12614,Feb,4,Monday,Chevrolet,Urban,Tuesday,Mar,1,Female,Single,40,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12615,2,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision
4139,Oct,5,Saturday,Toyota,Urban,Friday,Nov,3,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4140,8,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
3486,Dec,4,Saturday,Chevrolet,Urban,Monday,Jan,1,Male,Married,52,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,3487,11,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils
11714,Dec,2,Tuesday,Pontiac,Urban,Monday,Dec,3,Male,Married,52,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11715,4,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability
4971,Nov,3,Monday,Mazda,Rural,Monday,Nov,3,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,4972,8,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
4,Jan,5,Monday,Honda,Urban,Tuesday,Feb,2,Female,Single,27,Third Party,Sport - Collision,Sport,more than 69000,0,5,3,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
9145,Jul,2,Wednesday,Honda,Urban,Monday,Jul,3,Male,Married,30,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,9146,11,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
6312,Mar,1,Saturday,Saab,Urban,Wednesday,Mar,2,Male,Married,64,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,6313,15,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils
5689,Apr,4,Tuesday,Pontiac,Urban,Thursday,Apr,5,Male,Married,46,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5690,6,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
746,Mar,1,Saturday,Toyota,Urban,Monday,Mar,1,Male,Single,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,747,15,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
13587,Aug,3,Friday,Toyota,Urban,Tuesday,Aug,5,Male,Married,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,13588,11,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1996,Collision
9657,Apr,3,Wednesday,Mazda,Urban,Friday,Apr,4,Male,Married,54,Policy Holder,Sedan - Liability,Sport,more than 69000,0,9658,10,400,2,more than 30,more than 30,none,6 years,41 to 50,No,No,Internal,none,no change,1 vehicle,1995,Liability
10868,Sep,4,Monday,Toyota,Urban,Monday,Sep,4,Male,Married,48,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,10869,4,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils
7097,Aug,4,Monday,Toyota,Urban,Friday,Aug,4,Male,Married,26,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,7098,3,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
13531,Jun,2,Wednesday,Chevrolet,Urban,Thursday,Jun,2,Male,Single,59,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,13532,4,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils
9137,Jan,2,Saturday,Saab,Urban,Tuesday,Jan,2,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,1,9138,10,400,2,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
2747,Jun,3,Sunday,Toyota,Urban,Tuesday,Jun,3,Male,Single,21,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2748,4,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,3 to 4,1994,Collision
11446,Sep,5,Friday,Honda,Urban,Monday,Oct,1,Male,Single,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11447,10,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability
2979,Apr,2,Monday,Toyota,Urban,Monday,May,1,Male,Married,65,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2980,10,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
13058,Sep,3,Monday,Pontiac,Urban,Monday,Sep,3,Male,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13059,11,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability
6030,Aug,5,Tuesday,Chevrolet,Urban,Friday,Sep,1,Male,Married,57,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,6031,1,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
1422,May,3,Sunday,Honda,Urban,Tuesday,May,3,Male,Single,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1423,8,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
